id|name|category|variation|rarity|mit|powersW|powersSh|powersS|powersAny|epBonus|desc
p-bc-v1|Blaster Cannon|Weapon|V1|common|||||||Quality -1 step damage.
p-bt-v1|Blaster Turret|Weapon|V1|common|||||||Quality -1 step damage. Can only Snap Shot. Can shoot Tailing ships.
p-mis-v1|Missile|Weapon|V1|common|||||||Quality +2 damage. Single-use. Can't snap shot. Can't be repaired.
p-bc-v2|Blaster Cannon|Weapon|V2|common|||||||Quality -1 step damage.
p-bt-v2|Blaster Turret|Weapon|V2|common|||||||Quality -1 step damage. Can only Snap Shot. Can shoot Tailing ships.
p-mis-v2|Missile|Weapon|V2|common|||||||Quality +2 damage. Single-use. Can't snap shot. Can't be repaired.
p-bc-tlc-v2|Blaster Cannon TLC|Weapon|V2|common|||||||Quality -1 step damage.
p-bt-tlc-v2|Blaster Turret TLC|Weapon|V2|common|||||||Quality -1 step damage. Can only Snap Shot. Can shoot Tailing ships.
p-bc-v4|Blaster Cannon|Weapon|V4|common|||||||Quality -1 step damage.
p-bt-v4|Blaster Turret|Weapon|V4|common|||||||Quality -1 step damage. Can only Snap Shot. Can shoot Tailing ships.
p-mis-v4|Missile|Weapon|V4|common|||||||Quality +2 damage. Single-use. Can't snap shot. Can't be repaired.
p-bc-tlc-v4|Blaster Cannon TLC|Weapon|V4|common|||||||Quality -1 step damage.
p-bt-tlc-v4|Blaster Turret TLC|Weapon|V4|common|||||||Quality -1 step damage. Can only Snap Shot. Can shoot Tailing ships.
p-abl-v1|Ablative Armor|Shield/Armor|V1|common|1||||||Does not take Power. Mitigation 1. Standard degradation.
p-abl-v2|Ablative Armor|Shield/Armor|V2|common|1||||||Does not take Power. Mitigation 1. Standard degradation.
p-abl-ex-v2|Ablative Armor Ex|Shield/Armor|V2|common|1||||||Does not take Power. Mitigation 1. Standard degradation.
p-abl-v4|Ablative Armor|Shield/Armor|V4|common|1||||||Does not take Power. Mitigation 1. Standard degradation.
p-abl-ex-v4|Ablative Armor Ex|Shield/Armor|V4|common|1||||||Does not take Power. Mitigation 1. Standard degradation.
p-lsh-v1|Light Shields|Shield/Armor|V1|common|1||||||Mitigation 1. Regenerates 1 at the end of each round.
p-lsh-v2|Light Shields|Shield/Armor|V2|common|1||||||Mitigation 1. Regenerates 1 at the end of each round.
p-lsh-ex-v2|Light Shields Ex|Shield/Armor|V2|common|1||||||Mitigation 1. Regenerates 1 at the end of each round.
p-lsh-v4|Light Shields|Shield/Armor|V4|common|1||||||Mitigation 1. Regenerates 1 at the end of each round.
p-lsh-ex-v4|Light Shields Ex|Shield/Armor|V4|common|1||||||Mitigation 1. Regenerates 1 at the end of each round.
p-le-v1|Light Engine|Engine|V1|common||2|0|1|||
p-le-ae-v1|Light Engine Ae|Engine|V1|common||2|1|0|||
p-le-v2|Light Engine|Engine|V2|common||2|1|1|||
p-le-ae-v2|Light Engine Ae|Engine|V2|common||2|2|0|||
p-le-v4|Light Engine|Engine|V4|common||2|1|2|||
p-le-ae-v4|Light Engine Ae|Engine|V4|common||2|2|1|||
p-cs-v1|Comm Scrambler|System|V1|common|||||||Block one enemy System this round.
p-cs-v2|Comm Scrambler|System|V2|common|||||||Block one enemy System this round.
p-cs-v4|Comm Scrambler|System|V4|common|||||||Block one enemy System this round.
p-dc-v1|Deflector Coils|System|V1|common|||||||Efficiency Test: Shields do not Weaken.
p-dc-v2|Deflector Coils|System|V2|common|||||||Efficiency Test: Shields do not Weaken.
p-dc-v4|Deflector Coils|System|V4|common|||||||Efficiency Test: Shields do not Weaken.
p-fi-v1|Fuel Injector|System|V1|common|||||||Once/match: treat ship as one size smaller for EP.
p-fi-v2|Fuel Injector|System|V2|common|||||||Once/match: treat ship as one size smaller for EP.
p-fi-v4|Fuel Injector|System|V4|common|||||||Once/match: treat ship as one size smaller for EP.
p-prox-v1|Proximity Sensors|System|V1|common|||||||Passive. Initiative advantage OOP→Tailed.
p-prox-v2|Proximity Sensors|System|V2|common|||||||Passive. Initiative advantage OOP→Tailed.
p-prox-v4|Proximity Sensors|System|V4|common|||||||Passive. Initiative advantage OOP→Tailed.
p-ts-v1|Targeting Scope|System|V1|common|||||||Passive. Low Quality vs Tailed = Standard.
p-ts-v2|Targeting Scope|System|V2|common|||||||Passive. Low Quality vs Tailed = Standard.
p-ts-v4|Targeting Scope|System|V4|common|||||||Passive. Low Quality vs Tailed = Standard.
p-tlc-c-v1|Twin-Linked Laser Cannon|Weapon|V1|rare|||||||Two attacks. Normal damage.
p-tlc-t-v1|Twin-Linked Laser Turret|Weapon|V1|rare|||||||Two attacks. Can only Snap Shot. Can shoot Tailing ships.
p-pt-v1|Photon Torpedo|Weapon|V1|rare|||||||Quality +3 damage. Single-use. Can't snap shot. Can't be repaired.
p-tlc-c-v2|Twin-Linked Laser Cannon|Weapon|V2|rare|||||||Two attacks. Normal damage.
p-tlc-t-v2|Twin-Linked Laser Turret|Weapon|V2|rare|||||||Two attacks. Can only Snap Shot. Can shoot Tailing ships.
p-pt-v2|Photon Torpedo|Weapon|V2|rare|||||||Quality +3 damage. Single-use. Can't snap shot. Can't be repaired.
p-tlc-c-tlc-v2|Twin-Linked Laser Cannon TLC|Weapon|V2|rare|||||||Two attacks. Normal damage.
p-tlc-t-tlc-v2|Twin-Linked Laser Turret TLC|Weapon|V2|rare|||||||Two attacks. Can only Snap Shot. Can shoot Tailing ships.
p-tlc-c-v4|Twin-Linked Laser Cannon|Weapon|V4|rare|||||||Two attacks. Normal damage.
p-tlc-t-v4|Twin-Linked Laser Turret|Weapon|V4|rare|||||||Two attacks. Can only Snap Shot. Can shoot Tailing ships.
p-pt-v4|Photon Torpedo|Weapon|V4|rare|||||||Quality +3 damage. Single-use. Can't snap shot. Can't be repaired.
p-tlc-c-tlc-v4|Twin-Linked Laser Cannon TLC|Weapon|V4|rare|||||||Two attacks. Normal damage.
p-tlc-t-tlc-v4|Twin-Linked Laser Turret TLC|Weapon|V4|rare|||||||Two attacks. Can only Snap Shot. Can shoot Tailing ships.
p-chromiumarm-v1|Chromium Armor|Shield/Armor|V1|rare|2||||||Does not take Power. Mitigation 2. Reduced degradation.
p-chromiumarm-v2|Chromium Armor|Shield/Armor|V2|rare|2||||||Does not take Power. Mitigation 2. Reduced degradation.
p-chromiumarm-ex-v2|Chromium Armor Ex|Shield/Armor|V2|rare|2||||||Does not take Power. Mitigation 2. Reduced degradation.
p-chromiumarm-v4|Chromium Armor|Shield/Armor|V4|rare|2||||||Does not take Power. Mitigation 2. Reduced degradation.
p-chromiumarm-ex-v4|Chromium Armor Ex|Shield/Armor|V4|rare|2||||||Does not take Power. Mitigation 2. Reduced degradation.
p-militaryshi-v1|Military Shields|Shield/Armor|V1|rare|3||||||Mitigation 3. Regenerates 1 at the end of each round.
p-militaryshi-v2|Military Shields|Shield/Armor|V2|rare|3||||||Mitigation 3. Regenerates 1 at the end of each round.
p-militaryshi-ex-v2|Military Shields Ex|Shield/Armor|V2|rare|3||||||Mitigation 3. Regenerates 1 at the end of each round.
p-militaryshi-v4|Military Shields|Shield/Armor|V4|rare|3||||||Mitigation 3. Regenerates 1 at the end of each round.
p-militaryshi-ex-v4|Military Shields Ex|Shield/Armor|V4|rare|3||||||Mitigation 3. Regenerates 1 at the end of each round.
p-pe-v1|Performance Engine|Engine|V1|rare||2|2|2||1|
p-pe-v2|Performance Engine|Engine|V2|rare||2|2|2||1|
p-pe-ex-v2|Performance Engine Ex|Engine|V2|rare||2|2|2||1|
p-pe-v4|Performance Engine|Engine|V4|rare||2|2|2||1|
p-pe-ex-v4|Performance Engine Ex|Engine|V4|rare||2|2|2||1|
p-atc-v1|Adv. Targeting Comp.|System|V1|rare|||||||All Tailing attacks gain Shoot Twice.
p-atc-v2|Adv. Targeting Comp.|System|V2|rare|||||||All Tailing attacks gain Shoot Twice.
p-atc-v4|Adv. Targeting Comp.|System|V4|rare|||||||All Tailing attacks gain Shoot Twice.
p-cd-v1|Collision Detector|System|V1|rare|||||||Efficiency Test: If shaken off Tailing position this round, automatically reacquire Tailing.
p-cd-v3|Collision Detector|System|V3|rare|||||||Efficiency Test: If shaken off Tailing position this round, automatically reacquire Tailing.
p-cd-v5|Collision Detector|System|V5|rare|||||||Efficiency Test: If shaken off Tailing position this round, automatically reacquire Tailing.
p-cp-v1|Combat Predictor|System|V1|rare|||||||Efficiency Test: Advantage on gaining Tailing (roll twice, take better). Enemies suffer Disadvantage escaping from this ship.
p-cp-v3|Combat Predictor|System|V3|rare|||||||Efficiency Test: Advantage on gaining Tailing (roll twice, take better). Enemies suffer Disadvantage escaping from this ship.
p-cp-v5|Combat Predictor|System|V5|rare|||||||Efficiency Test: Advantage on gaining Tailing (roll twice, take better). Enemies suffer Disadvantage escaping from this ship.
p-mt-v1|Maneuv. Thrusters|System|V1|rare|||||||Costs 1 EP. Net +1 EP this round on success.
p-mt-v3|Maneuv. Thrusters|System|V3|rare|||||||Costs 1 EP. Net +1 EP this round on success.
p-mt-v5|Maneuv. Thrusters|System|V5|rare|||||||Costs 1 EP. Net +1 EP this round on success.
p-rsm-v1|Reactive Shield Matrix|System|V1|rare|||||||Shields absorb hit without Weakening on success.
p-rsm-v3|Reactive Shield Matrix|System|V3|rare|||||||Shields absorb hit without Weakening on success.
p-rsm-v5|Reactive Shield Matrix|System|V5|rare|||||||Shields absorb hit without Weakening on success.
p-tsim-v1|Trajectory Simulator|System|V1|rare|||||||Reveal selected maneuver of Tailing/Tailed ship.
p-tsim-v3|Trajectory Simulator|System|V3|rare|||||||Reveal selected maneuver of Tailing/Tailed ship.
p-tsim-v5|Trajectory Simulator|System|V5|rare|||||||Reveal selected maneuver of Tailing/Tailed ship.
p-lc-v1|Laser Cannon|Weapon|V1|uncommon|||||||Normal damage.
p-lt-v1|Laser Turret|Weapon|V1|uncommon|||||||Can only Snap Shot. Can shoot Tailing ships.
p-ion-v1|Ion Bomb|Weapon|V1|uncommon|||||||No damage. Target reduced to 0 power immediately, and half power (round up) next round. Single-use. Can't snap shot. Can't be repaired.
p-lc-v2|Laser Cannon|Weapon|V2|uncommon|||||||Normal damage.
p-lt-v2|Laser Turret|Weapon|V2|uncommon|||||||Can only Snap Shot. Can shoot Tailing ships.
p-ion-v2|Ion Bomb|Weapon|V2|uncommon|||||||No damage. Target reduced to 0 power immediately, and half power (round up) next round. Single-use. Can't snap shot. Can't be repaired.
p-lc-tlc-v2|Laser Cannon TLC|Weapon|V2|uncommon|||||||Normal damage.
p-lt-tlc-v2|Laser Turret TLC|Weapon|V2|uncommon|||||||Can only Snap Shot. Can shoot Tailing ships.
p-lc-v4|Laser Cannon|Weapon|V4|uncommon|||||||Normal damage.
p-lt-v4|Laser Turret|Weapon|V4|uncommon|||||||Can only Snap Shot. Can shoot Tailing ships.
